ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2028-10-31,180414.79226522023,169958.62519149182,181073.6421703771,178969.68511523097,181791.119303428,-5050.800039215137,-5050.800039215137,-5050.800039215137,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-771.1025234758665,-771.1025234758665,-771.1025234758665,0.0,0.0,0.0,175363.9922260051,Oneida
2028-11-30,181220.69413818355,172435.14995599032,183820.33390661248,179701.12122902818,182656.94408506466,-3154.055016101017,-3154.055016101017,-3154.055016101017,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1125.6424996382545,1125.6424996382545,1125.6424996382545,0.0,0.0,0.0,178066.63912208253,Oneida
2028-12-31,182053.4594069123,172444.86148902823,183532.92296402183,180484.18955177916,183559.404392423,-3872.931266402976,-3872.931266402976,-3872.931266402976,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,406.76624933629574,406.76624933629574,406.76624933629574,0.0,0.0,0.0,178180.52814050933,Oneida
2029-01-31,182886.22467564108,173246.3470440903,184218.58693134232,181289.14076121888,184456.43210293708,-4379.225562381339,-4379.225562381339,-4379.225562381339,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-99.52804664206745,-99.52804664206745,-99.52804664206745,0.0,0.0,0.0,178506.99911325975,Oneida
2029-02-28,183638.3997570735,174138.51939755093,185311.9416066291,181990.75793245435,185251.33091150087,-3955.377388600858,-3955.377388600858,-3955.377388600858,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,324.3201271384135,324.3201271384135,324.3201271384135,0.0,0.0,0.0,179683.02236847262,Oneida
2029-03-31,184471.1650258023,175723.7739100956,187457.1691737093,182770.8384863691,186137.79625285655,-3007.0904382501953,-3007.0904382501953,-3007.0904382501953,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1272.6070774890757,1272.6070774890757,1272.6070774890757,0.0,0.0,0.0,181464.0745875521,Oneida
2029-04-30,185277.06689876565,176434.20859354883,187376.0115952857,183534.43860608744,187025.32184053332,-3361.2226373353665,-3361.2226373353665,-3361.2226373353665,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,918.4748784039045,918.4748784039045,918.4748784039045,0.0,0.0,0.0,181915.8442614303,Oneida
2029-05-31,186109.8321674944,177117.3713994831,187741.4630982764,184304.05280419887,187898.80400712093,-3654.803400124053,-3654.803400124053,-3654.803400124053,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,624.8941156152182,624.8941156152182,624.8941156152182,0.0,0.0,0.0,182455.02876737036,Oneida
2029-06-30,186915.73404045776,177285.019509451,188659.66109042184,185052.66522994707,188765.63679834362,-3929.6145923566105,-3929.6145923566105,-3929.6145923566105,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,350.0829233826607,350.0829233826607,350.0829233826607,0.0,0.0,0.0,182986.11944810115,Oneida
2029-07-31,187748.49930918653,177266.5046205731,188841.19801096813,185820.79288125708,189649.2941257217,-4816.551368784653,-4816.551368784653,-4816.551368784653,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-536.8538530453823,-536.8538530453823,-536.8538530453823,0.0,0.0,0.0,182931.94794040188,Oneida
