RegionID,SizeRank,RegionName,RegionType,StateName,Date,PriceValue
394425,50,"Buffalo, NY",msa,NY,2016-11-30,1104.4111313095764
395031,52,"Rochester, NY",msa,NY,2016-11-30,1132.8888675771514
394308,64,"Albany, NY",msa,NY,2016-11-30,1322.9821729530106
845159,86,"Poughkeepsie, NY",msa,NY,2016-11-30,1701.629066624395
395143,91,"Syracuse, NY",msa,NY,2016-11-30,1165.670176732912
395179,169,"Utica, NY",msa,NY,2016-11-30,
394387,195,"Binghamton, NY",msa,NY,2016-11-30,
394748,241,"Kingston, NY",msa,NY,2016-11-30,
394719,328,"Jamestown, NY",msa,NY,2016-11-30,
394633,331,"Glens Falls, NY",msa,NY,2016-11-30,
395213,351,"Watertown, NY",msa,NY,2016-11-30,
394709,376,"Ithaca, NY",msa,NY,2016-11-30,
394501,413,"Corning, NY",msa,NY,2016-11-30,
394568,432,"Elmira, NY",msa,NY,2016-11-30,
394350,464,"Auburn, NY",msa,NY,2016-11-30,
394939,542,"Oneonta, NY",msa,NY,2016-11-30,
394913,1,"New York, NY",msa,NY,2016-12-31,2129.621968780776
394425,50,"Buffalo, NY",msa,NY,2016-12-31,1106.2018519980827
395031,52,"Rochester, NY",msa,NY,2016-12-31,1130.4549451536996
394308,64,"Albany, NY",msa,NY,2016-12-31,1311.4915571013871
845159,86,"Poughkeepsie, NY",msa,NY,2016-12-31,1712.7195331337982
395143,91,"Syracuse, NY",msa,NY,2016-12-31,1185.597480343398
395179,169,"Utica, NY",msa,NY,2016-12-31,
394387,195,"Binghamton, NY",msa,NY,2016-12-31,
394748,241,"Kingston, NY",msa,NY,2016-12-31,
394719,328,"Jamestown, NY",msa,NY,2016-12-31,
394633,331,"Glens Falls, NY",msa,NY,2016-12-31,
395213,351,"Watertown, NY",msa,NY,2016-12-31,
394709,376,"Ithaca, NY",msa,NY,2016-12-31,
394501,413,"Corning, NY",msa,NY,2016-12-31,
394568,432,"Elmira, NY",msa,NY,2016-12-31,
394350,464,"Auburn, NY",msa,NY,2016-12-31,
394939,542,"Oneonta, NY",msa,NY,2016-12-31,
394913,1,"New York, NY",msa,NY,2017-01-31,2145.27846751424
394425,50,"Buffalo, NY",msa,NY,2017-01-31,1096.8843503024743
395031,52,"Rochester, NY",msa,NY,2017-01-31,1131.055089297691
394308,64,"Albany, NY",msa,NY,2017-01-31,1318.8558851786956
845159,86,"Poughkeepsie, NY",msa,NY,2017-01-31,1721.0653399997834
395143,91,"Syracuse, NY",msa,NY,2017-01-31,1197.3571043550935
395179,169,"Utica, NY",msa,NY,2017-01-31,
