RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,PriceDate,HomePrice,County,Year,Month,TaxAmount,TaxDate,Mortgage Rate,RentDate,Housing,MonthlyRent
2465,150,Onondaga County,county,NY,NY,"Syracuse, NY",36,67,2000-03-31,47516.02592834399,Onondaga,2000,2000-03-31,,,,2024-01-01,12062.0,1005.1666666666666
1290,178,Orange County,county,NY,NY,"Poughkeepsie-Newburgh-Middletown, NY",36,71,2000-03-31,66940.65445829771,Orange,2000,2000-03-31,,,,2024-01-01,16102.0,1341.8333333333333
2515,211,Rockland County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,87,2000-03-31,112061.61729206836,Rockland,2000,2000-03-31,,,,2024-01-01,26869.0,2239.0833333333335
823,225,Albany County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,1,2000-03-31,68552.14508690403,Albany,2000,2000-03-31,,,,2024-01-01,13098.0,1091.5
2255,235,Dutchess County,county,NY,NY,"Poughkeepsie-Newburgh-Middletown, NY",36,27,2000-03-31,81865.79016866325,Dutchess,2000,2000-03-31,,,,2024-01-01,15298.0,1274.8333333333333
2529,288,Saratoga County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,91,2000-03-31,72072.00672977786,Saratoga,2000,2000-03-31,,,,2024-01-01,14092.0,1174.3333333333333
1283,293,Oneida County,county,NY,NY,"Utica-Rome, NY",36,65,2000-03-31,39737.46298500205,Oneida,2000,2000-03-31,,,,2024-01-01,11383.0,948.5833333333334
1946,319,Niagara County,county,NY,NY,"Buffalo-Cheektowaga, NY",36,63,2000-03-31,42642.23345987962,Niagara,2000,2000-03-31,,,,2024-01-01,10081.0,840.0833333333334
895,341,Broome County,county,NY,NY,"Binghamton, NY",36,7,2000-03-31,30820.42910632077,Broome,2000,2000-03-31,,,,2024-01-01,10472.0,872.6666666666666
1448,369,Ulster County,county,NY,NY,"Kingston, NY",36,111,2000-03-31,84889.92433644502,Ulster,2000,2000-03-31,,,,2024-01-01,16509.0,1375.75
3004,414,Rensselaer County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,83,2000-03-31,62244.18730452422,Rensselaer,2000,2000-03-31,,,,2024-01-01,12366.0,1030.5
3137,428,Schenectady County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,93,2000-03-31,63328.82573780695,Schenectady,2000,2000-03-31,,,,2024-01-01,12125.0,1010.4166666666666
2900,507,Chautauqua County,county,NY,NY,"Jamestown-Dunkirk-Fredonia, NY",36,13,2000-03-31,44854.81861725012,Chautauqua,2000,2000-03-31,,,,2024-01-01,8279.0,689.9166666666666
1296,534,Oswego County,county,NY,NY,"Syracuse, NY",36,75,2000-03-31,36103.67365506724,Oswego,2000,2000-03-31,,,,2024-01-01,10661.0,888.4166666666666
2748,537,Jefferson County,county,NY,NY,"Watertown-Fort Drum, NY",36,45,2000-03-31,38190.91909081071,Jefferson,2000,2000-03-31,,,,2024-01-01,10713.0,892.75
1952,551,Ontario County,county,NY,NY,"Rochester, NY",36,69,2000-03-31,57388.231359860685,Ontario,2000,2000-03-31,,,,2024-01-01,12754.0,1062.8333333333333
3249,565,Saint Lawrence County,county,NY,NY,"Ogdensburg-Massena, NY",36,89,2000-03-31,32890.542145619984,Saint Lawrence,2000,2000-03-31,,,,,,
2578,581,Tompkins County,county,NY,NY,"Ithaca, NY",36,109,2000-03-31,74082.58328198764,Tompkins,2000,2000-03-31,,,,2024-01-01,15906.0,1325.5
1343,620,Putnam County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,79,2000-03-31,98475.2067402104,Putnam,2000,2000-03-31,,,,2024-01-01,26839.0,2236.5833333333335
