Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2019,Erie,New York,829,153400,3891,985,251583,985,3902,4783,-245217,249119,3.902,-245.217,249.119
2020,Erie,New York,852,160700,3972,979,254697,979,4754,5762,-244238,248992,4.754,-244.238,248.992
2021,Erie,New York,893,169100,4107,1014,262725,1014,5647,6776,-243224,248871,5.647,-243.224,248.871
2022,Erie,New York,984,197400,4392,1086,264980,1086,6631,7862,-242138,248769,6.631,-242.138,248.769
2023,Erie,New York,1037,217400,4525,1125,267519,1125,7668,8987,-241013,248681,7.668,-241.013,248.681
2015,Essex,New York,805,145100,2424,826,11275,826,805,826,-249174,249979,0.805,-249.174,249.979
2016,Essex,New York,792,144100,2482,814,11316,814,1597,1640,-248360,249957,1.597,-248.36,249.957
2017,Essex,New York,798,146900,2581,866,11600,866,2395,2506,-247494,249889,2.395,-247.494,249.889
2018,Essex,New York,802,151900,2645,879,11663,879,3197,3385,-246615,249812,3.197,-246.615,249.812
2019,Essex,New York,812,153600,2766,876,11903,876,4009,4261,-245739,249748,4.009,-245.739,249.748
2020,Essex,New York,810,160400,2812,879,12363,879,4819,5140,-244860,249679,4.819,-244.86,249.679
2021,Essex,New York,845,162700,3103,956,12038,956,5664,6096,-243904,249568,5.664,-243.904,249.568
2022,Essex,New York,875,189500,3285,1013,12129,1013,6539,7109,-242891,249430,6.539,-242.891,249.43
2023,Essex,New York,890,200000,3111,1024,12520,1024,7429,8133,-241867,249296,7.429,-241.867,249.296
2015,Franklin,New York,671,101600,2019,743,13927,743,671,743,-249257,249928,0.671,-249.257,249.928
2016,Franklin,New York,666,100900,1983,735,13956,735,1337,1478,-248522,249859,1.337,-248.522,249.859
2017,Franklin,New York,670,102200,2136,738,13820,738,2007,2216,-247784,249791,2.007,-247.784,249.791
2018,Franklin,New York,702,105500,2257,765,13829,765,2709,2981,-247019,249728,2.709,-247.019,249.728
2019,Franklin,New York,703,108700,2281,741,13577,741,3412,3722,-246278,249690,3.412,-246.278,249.69
2020,Franklin,New York,706,110600,2262,739,13607,739,4118,4461,-245539,249657,4.118,-245.539,249.657
2021,Franklin,New York,751,118800,2282,766,13203,766,4869,5227,-244773,249642,4.869,-244.773,249.642
2022,Franklin,New York,788,131600,2370,823,13423,823,5657,6050,-243950,249607,5.657,-243.95,249.607
2023,Franklin,New York,819,128600,2418,838,13692,838,6476,6888,-243112,249588,6.476,-243.112,249.588
2015,Fulton,New York,711,108200,2648,811,15684,811,711,811,-249189,249900,0.711,-249.189,249.9
2016,Fulton,New York,722,108300,2719,794,15808,794,1433,1605,-248395,249828,1.433,-248.395,249.828
2017,Fulton,New York,734,107600,2727,791,16085,791,2167,2396,-247604,249771,2.167,-247.604,249.771
2018,Fulton,New York,759,108700,2748,792,16036,792,2926,3188,-246812,249738,2.926,-246.812,249.738
2019,Fulton,New York,779,109600,2827,778,15942,778,3705,3966,-246034,249739,3.705,-246.034,249.739
2020,Fulton,New York,777,120100,2894,794,15612,794,4482,4760,-245240,249722,4.482,-245.24,249.722
2021,Fulton,New York,792,124500,3082,842,14965,842,5274,5602,-244398,249672,5.274,-244.398,249.672
