Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Net_Difference,Cumulative_Rent_k,Cumulative_Owner_k,Net_Difference_k
2021,Fulton,New York,792,124500,3082,842,14965,842,5274,5602,-328,5.274,5.602,-0.328
2022,Fulton,New York,855,142000,3217,923,15265,923,6129,6525,-396,6.129,6.525,-0.396
2023,Fulton,New York,883,156100,3325,963,15645,963,7012,7488,-476,7.012,7.488,-0.476
2015,Genesee,New York,724,107000,3047,894,17467,894,724,894,-170,0.724,0.894,-0.17
2016,Genesee,New York,716,108700,3114,891,17456,891,1440,1785,-345,1.44,1.785,-0.345
2017,Genesee,New York,748,111900,3195,894,17369,894,2188,2679,-491,2.188,2.679,-0.491
2018,Genesee,New York,746,117600,3310,924,17201,924,2934,3603,-669,2.934,3.603,-0.669
2019,Genesee,New York,747,119800,3354,926,17168,926,3681,4529,-848,3.681,4.529,-0.848
2020,Genesee,New York,786,125200,3456,916,17501,916,4467,5445,-978,4.467,5.445,-0.978
2021,Genesee,New York,808,130100,3574,934,17756,934,5275,6379,-1104,5.275,6.379,-1.104
2022,Genesee,New York,866,148600,3798,1022,17919,1022,6141,7401,-1260,6.141,7.401,-1.26
2023,Genesee,New York,909,157800,3958,1078,18381,1078,7050,8479,-1429,7.05,8.479,-1.429
2015,Greene,New York,837,177700,2989,1022,13261,1022,837,1022,-185,0.837,1.022,-0.185
2016,Greene,New York,856,175900,2996,983,12895,983,1693,2005,-312,1.693,2.005,-0.312
2017,Greene,New York,876,176100,2992,989,12960,989,2569,2994,-425,2.569,2.994,-0.425
2018,Greene,New York,906,174700,3151,1001,12681,1001,3475,3995,-520,3.475,3.995,-0.52
2019,Greene,New York,908,176300,3277,1036,12796,1036,4383,5031,-648,4.383,5.031,-0.648
2020,Greene,New York,925,185600,3511,977,13550,977,5308,6008,-700,5.308,6.008,-0.7
2021,Greene,New York,963,190000,3668,1036,13438,1036,6271,7044,-773,6.271,7.044,-0.773
2022,Greene,New York,1013,229500,4048,1154,13589,1154,7284,8198,-914,7.284,8.198,-0.914
2023,Greene,New York,993,248300,4116,1261,14107,1261,8277,9459,-1182,8.277,9.459,-1.182
2015,Hamilton,New York,622,162600,2036,663,1177,663,622,663,-41,0.622,0.663,-0.041
2016,Hamilton,New York,733,165500,1866,699,1055,699,1355,1362,-7,1.355,1.362,-0.007
2017,Hamilton,New York,713,164000,1825,743,927,743,2068,2105,-37,2.068,2.105,-0.037
2018,Hamilton,New York,761,164900,1839,755,963,755,2829,2860,-31,2.829,2.86,-0.031
2019,Hamilton,New York,783,166000,1690,643,1003,643,3612,3503,109,3.612,3.503,0.109
2020,Hamilton,New York,841,170500,1834,767,1208,767,4453,4270,183,4.453,4.27,0.183
2021,Hamilton,New York,873,170600,1821,743,1261,743,5326,5013,313,5.326,5.013,0.313
2022,Hamilton,New York,902,204900,2197,823,1465,823,6228,5836,392,6.228,5.836,0.392
2023,Hamilton,New York,860,242000,2369,805,1741,805,7088,6641,447,7.088,6.641,0.447
2015,Herkimer,New York,623,96100,2423,750,18556,750,623,750,-127,0.623,0.75,-0.127
2016,Herkimer,New York,636,97300,2437,741,18066,741,1259,1491,-232,1.259,1.491,-0.232
2017,Herkimer,New York,657,95800,2444,728,18053,728,1916,2219,-303,1.916,2.219,-0.303
2018,Herkimer,New York,680,97200,2500,733,17821,733,2596,2952,-356,2.596,2.952,-0.356
2019,Herkimer,New York,675,100000,2607,728,18052,728,3271,3680,-409,3.271,3.68,-0.409
2020,Herkimer,New York,680,106600,2709,744,18647,744,3951,4424,-473,3.951,4.424,-0.473
2021,Herkimer,New York,709,110500,2747,764,18270,764,4660,5188,-528,4.66,5.188,-0.528
2022,Herkimer,New York,776,130900,3023,848,18744,848,5436,6036,-600,5.436,6.036,-0.6
2023,Herkimer,New York,811,135000,3067,875,19296,875,6247,6911,-664,6.247,6.911,-0.664
2015,Jefferson,New York,947,141000,2331,886,24610,886,947,886,61,0.947,0.886,0.061
2016,Jefferson,New York,943,144400,2367,870,24333,870,1890,1756,134,1.89,1.756,0.134
2017,Jefferson,New York,966,149300,2448,888,24012,888,2856,2644,212,2.856,2.644,0.212
2018,Jefferson,New York,979,149500,2486,887,24108,887,3835,3531,304,3.835,3.531,0.304
2019,Jefferson,New York,987,149900,2514,893,24135,893,4822,4424,398,4.822,4.424,0.398
2020,Jefferson,New York,1018,150100,2575,880,23980,880,5840,5304,536,5.84,5.304,0.536
2021,Jefferson,New York,1072,154000,2642,950,25121,950,6912,6254,658,6.912,6.254,0.658
2022,Jefferson,New York,1143,169600,2778,1039,25123,1039,8055,7293,762,8.055,7.293,0.762
2023,Jefferson,New York,1214,181000,2851,1076,25278,1076,9269,8369,900,9.269,8.369,0.9
2015,Kings,New York,1215,570200,3656,1834,272717,1834,1215,1834,-619,1.215,1.834,-0.619
2016,Kings,New York,1262,590500,3834,1822,276447,1822,2477,3656,-1179,2.477,3.656,-1.179
2017,Kings,New York,1314,623900,4074,1844,283752,1844,3791,5500,-1709,3.791,5.5,-1.709
2018,Kings,New York,1374,665300,4358,1893,285330,1893,5165,7393,-2228,5.165,7.393,-2.228
2019,Kings,New York,1426,706000,4636,1944,288632,1944,6591,9337,-2746,6.591,9.337,-2.746
2020,Kings,New York,1483,734800,4980,1949,295080,1949,8074,11286,-3212,8.074,11.286,-3.212
