Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Equity,Net_Difference,Cumulative_Rent_k,Cumulative_Equity_k,Net_Difference_k
2018,Franklin,New York,702,105500,2257,765,13829,765,2709,252216,-249507,2.709,252.216,-249.507
2019,Franklin,New York,703,108700,2281,741,13577,741,3412,252981,-249569,3.412,252.981,-249.569
2020,Franklin,New York,706,110600,2262,739,13607,739,4118,253722,-249604,4.118,253.722,-249.604
2021,Franklin,New York,751,118800,2282,766,13203,766,4869,254461,-249592,4.869,254.461,-249.592
2022,Franklin,New York,788,131600,2370,823,13423,823,5657,255227,-249570,5.657,255.227,-249.57
2023,Franklin,New York,819,128600,2418,838,13692,838,6476,256050,-249574,6.476,256.05,-249.574
2015,Fulton,New York,711,108200,2648,811,15684,811,711,250000,-249289,0.711,250.0,-249.289
2016,Fulton,New York,722,108300,2719,794,15808,794,1433,250811,-249378,1.433,250.811,-249.378
2017,Fulton,New York,734,107600,2727,791,16085,791,2167,251605,-249438,2.167,251.605,-249.438
2018,Fulton,New York,759,108700,2748,792,16036,792,2926,252396,-249470,2.926,252.396,-249.47
2019,Fulton,New York,779,109600,2827,778,15942,778,3705,253188,-249483,3.705,253.188,-249.483
2020,Fulton,New York,777,120100,2894,794,15612,794,4482,253966,-249484,4.482,253.966,-249.484
2021,Fulton,New York,792,124500,3082,842,14965,842,5274,254760,-249486,5.274,254.76,-249.486
2022,Fulton,New York,855,142000,3217,923,15265,923,6129,255602,-249473,6.129,255.602,-249.473
2023,Fulton,New York,883,156100,3325,963,15645,963,7012,256525,-249513,7.012,256.525,-249.513
2015,Genesee,New York,724,107000,3047,894,17467,894,724,250000,-249276,0.724,250.0,-249.276
2016,Genesee,New York,716,108700,3114,891,17456,891,1440,250894,-249454,1.44,250.894,-249.454
2017,Genesee,New York,748,111900,3195,894,17369,894,2188,251785,-249597,2.188,251.785,-249.597
2018,Genesee,New York,746,117600,3310,924,17201,924,2934,252679,-249745,2.934,252.679,-249.745
2019,Genesee,New York,747,119800,3354,926,17168,926,3681,253603,-249922,3.681,253.603,-249.922
2020,Genesee,New York,786,125200,3456,916,17501,916,4467,254529,-250062,4.467,254.529,-250.062
2021,Genesee,New York,808,130100,3574,934,17756,934,5275,255445,-250170,5.275,255.445,-250.17
2022,Genesee,New York,866,148600,3798,1022,17919,1022,6141,256379,-250238,6.141,256.379,-250.238
2023,Genesee,New York,909,157800,3958,1078,18381,1078,7050,257401,-250351,7.05,257.401,-250.351
2015,Greene,New York,837,177700,2989,1022,13261,1022,837,250000,-249163,0.837,250.0,-249.163
2016,Greene,New York,856,175900,2996,983,12895,983,1693,251022,-249329,1.693,251.022,-249.329
2017,Greene,New York,876,176100,2992,989,12960,989,2569,252005,-249436,2.569,252.005,-249.436
2018,Greene,New York,906,174700,3151,1001,12681,1001,3475,252994,-249519,3.475,252.994,-249.519
2019,Greene,New York,908,176300,3277,1036,12796,1036,4383,253995,-249612,4.383,253.995,-249.612
2020,Greene,New York,925,185600,3511,977,13550,977,5308,255031,-249723,5.308,255.031,-249.723
2021,Greene,New York,963,190000,3668,1036,13438,1036,6271,256008,-249737,6.271,256.008,-249.737
2022,Greene,New York,1013,229500,4048,1154,13589,1154,7284,257044,-249760,7.284,257.044,-249.76
2023,Greene,New York,993,248300,4116,1261,14107,1261,8277,258198,-249921,8.277,258.198,-249.921
2015,Hamilton,New York,622,162600,2036,663,1177,663,622,250000,-249378,0.622,250.0,-249.378
2016,Hamilton,New York,733,165500,1866,699,1055,699,1355,250663,-249308,1.355,250.663,-249.308
2017,Hamilton,New York,713,164000,1825,743,927,743,2068,251362,-249294,2.068,251.362,-249.294
2018,Hamilton,New York,761,164900,1839,755,963,755,2829,252105,-249276,2.829,252.105,-249.276
2019,Hamilton,New York,783,166000,1690,643,1003,643,3612,252860,-249248,3.612,252.86,-249.248
2020,Hamilton,New York,841,170500,1834,767,1208,767,4453,253503,-249050,4.453,253.503,-249.05
2021,Hamilton,New York,873,170600,1821,743,1261,743,5326,254270,-248944,5.326,254.27,-248.944
2022,Hamilton,New York,902,204900,2197,823,1465,823,6228,255013,-248785,6.228,255.013,-248.785
2023,Hamilton,New York,860,242000,2369,805,1741,805,7088,255836,-248748,7.088,255.836,-248.748
2015,Herkimer,New York,623,96100,2423,750,18556,750,623,250000,-249377,0.623,250.0,-249.377
2016,Herkimer,New York,636,97300,2437,741,18066,741,1259,250750,-249491,1.259,250.75,-249.491
2017,Herkimer,New York,657,95800,2444,728,18053,728,1916,251491,-249575,1.916,251.491,-249.575
2018,Herkimer,New York,680,97200,2500,733,17821,733,2596,252219,-249623,2.596,252.219,-249.623
2019,Herkimer,New York,675,100000,2607,728,18052,728,3271,252952,-249681,3.271,252.952,-249.681
2020,Herkimer,New York,680,106600,2709,744,18647,744,3951,253680,-249729,3.951,253.68,-249.729
2021,Herkimer,New York,709,110500,2747,764,18270,764,4660,254424,-249764,4.66,254.424,-249.764
2022,Herkimer,New York,776,130900,3023,848,18744,848,5436,255188,-249752,5.436,255.188,-249.752
2023,Herkimer,New York,811,135000,3067,875,19296,875,6247,256036,-249789,6.247,256.036,-249.789
2015,Jefferson,New York,947,141000,2331,886,24610,886,947,250000,-249053,0.947,250.0,-249.053
2016,Jefferson,New York,943,144400,2367,870,24333,870,1890,250886,-248996,1.89,250.886,-248.996
2017,Jefferson,New York,966,149300,2448,888,24012,888,2856,251756,-248900,2.856,251.756,-248.9
2018,Jefferson,New York,979,149500,2486,887,24108,887,3835,252644,-248809,3.835,252.644,-248.809
2019,Jefferson,New York,987,149900,2514,893,24135,893,4822,253531,-248709,4.822,253.531,-248.709
2020,Jefferson,New York,1018,150100,2575,880,23980,880,5840,254424,-248584,5.84,254.424,-248.584
2021,Jefferson,New York,1072,154000,2642,950,25121,950,6912,255304,-248392,6.912,255.304,-248.392
